rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,230,212.0,18.0,0.084906,49,39.0,10.0,252,220.0,32.0,48.6581,17.561,30.0,1.0971,2026-08-09
2,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,185,171.0,14.0,0.081871,4,4.0,0.0,19532,18657.0,875.0,43.6585,13.6585,0.0,30.0,2026-08-09
3,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,597,556.0,41.0,0.073741,6,6.0,0.0,2,1.0,1.0,40.0343,40.0,0.0,0.0343,2026-08-09
4,OpenOSINT,OpenOSINT,https://github.com/OpenOSINT,Organization,N/D,Italy,False,57,38.0,19.0,0.5,1,1.0,0.0,1374,947.0,427.0,33.1766,18.5366,0.0,14.64,2026-08-09
5,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2303,2274.0,29.0,0.012753,139,139.0,0.0,6227,6093.0,134.0,32.887,28.2927,0.0,4.5943,2026-08-09
6,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,218,208.0,10.0,0.048077,77,71.0,6.0,1704,1614.0,90.0,30.8418,9.7561,18.0,3.0857,2026-08-09
7,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,701,676.0,25.0,0.036982,34,33.0,1.0,1859,1769.0,90.0,30.476,24.3902,3.0,3.0857,2026-08-09
8,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,49,39.0,10.0,0.25641,22,19.0,3.0,4098,3806.0,292.0,28.7675,9.7561,9.0,10.0114,2026-08-09
9,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1912,1885.0,27.0,0.014324,432,432.0,0.0,6735,6710.0,25.0,27.1986,26.3415,0.0,0.8571,2026-08-09
10,robotology,Robotology,https://github.com/robotology,Organization,N/D,Italy,False,335,333.0,2.0,0.006006,153,147.0,6.0,2716,2705.0,11.0,20.3284,1.9512,18.0,0.3771,2026-08-09
11,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,325,322.0,3.0,0.009317,775,770.0,5.0,1693,1679.0,14.0,18.4068,2.9268,15.0,0.48,2026-08-09
12,gbionics,Generative Bionics,https://github.com/gbionics,Organization,N/D,Italy,False,111,97.0,14.0,0.14433,67,67.0,0.0,3162,3093.0,69.0,16.0243,13.6585,0.0,2.3657,2026-08-09
13,agile-lab-dev,Agile Lab,https://github.com/agile-lab-dev,Organization,N/D,"Turin, Italy",False,52,52.0,0.0,0.0,123,118.0,5.0,409,405.0,4.0,15.1371,0.0,15.0,0.1371,2026-08-09
14,BendingSpoons,Bending Spoons,https://github.com/BendingSpoons,Organization,N/D,"Milan, Italy",False,299,284.0,15.0,0.052817,3,3.0,0.0,2953,2955.0,0.0,14.6341,14.6341,0.0,0.0,2026-08-09
15,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,445,431.0,14.0,0.032483,30,30.0,0.0,860,845.0,15.0,14.1728,13.6585,0.0,0.5143,2026-08-09
16,Corsinvest,Corsinvest Srl,https://github.com/Corsinvest,Organization,N/D,Italy,False,126,119.0,7.0,0.058824,29,28.0,1.0,3258,3190.0,68.0,12.1607,6.8293,3.0,2.3314,2026-08-09
17,cyberpandino,Cyberpandino,https://github.com/cyberpandino,Organization,N/D,Italy,False,170,159.0,11.0,0.069182,1,1.0,0.0,526,486.0,40.0,12.1031,10.7317,0.0,1.3714,2026-08-09
18,NethServer,NethServer,https://github.com/NethServer,Organization,N/D,Italy,False,148,140.0,8.0,0.057143,300,299.0,1.0,693,674.0,19.0,11.4563,7.8049,3.0,0.6514,2026-08-09
19,beelzebub-labs,Beelzebub Labs,https://github.com/beelzebub-labs,Organization,N/D,Italy,False,53,44.0,9.0,0.204545,7,7.0,0.0,2249,2194.0,55.0,10.6662,8.7805,0.0,1.8857,2026-08-09
20,ondata,onData,https://github.com/ondata,Organization,N/D,Italy,False,133,129.0,4.0,0.031008,141,139.0,2.0,794,781.0,13.0,10.3482,3.9024,6.0,0.4457,2026-08-09
21,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,92,89.0,3.0,0.033708,22,21.0,1.0,5607,5492.0,115.0,9.8697,2.9268,3.0,3.9429,2026-08-09
22,cheshire-cat-ai,Cheshire Cat AI,https://github.com/cheshire-cat-ai,Organization,N/D,Italy,False,639,630.0,9.0,0.014286,23,23.0,0.0,3416,3405.0,11.0,9.1576,8.7805,0.0,0.3771,2026-08-09
23,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,Organization,N/D,Italy,False,425,416.0,9.0,0.021635,3,3.0,0.0,89,86.0,3.0,8.8833,8.7805,0.0,0.1029,2026-08-09
24,Luce-Org,Lucebox AI,https://github.com/Luce-Org,Organization,N/D,Italy,False,73,67.0,6.0,0.089552,3,3.0,0.0,2756,2678.0,78.0,8.5279,5.8537,0.0,2.6743,2026-08-09
25,ArtisanROM,ArtisanROM,https://github.com/ArtisanROM,Organization,N/D,Italy,False,53,45.0,8.0,0.177778,2,2.0,0.0,188,167.0,21.0,8.5249,7.8049,0.0,0.72,2026-08-09
