rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,NON-OS,NØNOS,https://github.com/NON-OS,Organization,N/D,Italy,False,231,42.0,189.0,4.5,22,17.0,5.0,351,104.0,247.0,57.0922,40.0,8.3333,8.7589,2026-09-21
2,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,60,51.0,9.0,0.176471,24,23.0,1.0,5074,4228.0,846.0,33.5714,1.9048,1.6667,30.0,2026-09-21
3,dataciviclab,DataCivicLab,https://github.com/dataciviclab,Organization,N/D,Italy,False,44,43.0,1.0,0.023256,41,23.0,18.0,42,39.0,3.0,30.318,0.2116,30.0,0.1064,2026-09-21
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2354,2321.0,33.0,0.014218,152,141.0,11.0,6464,6327.0,137.0,30.1756,6.9841,18.3333,4.8582,2026-09-21
5,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,96,94.0,2.0,0.021277,25,21.0,4.0,5852,5694.0,158.0,12.6928,0.4233,6.6667,5.6028,2026-09-21
6,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,195,189.0,6.0,0.031746,4,4.0,0.0,20030,19720.0,310.0,12.2627,1.2698,0.0,10.9929,2026-09-21
7,idra-lab, Interdepartmental Robotics Labs (IDRA),https://github.com/idra-lab,Organization,N/D,Italy,False,47,47.0,0.0,0.0,107,100.0,7.0,282,278.0,4.0,11.8085,0.0,11.6667,0.1418,2026-09-21
8,cnr-isti-vclab,Visual Computing Lab - ISTI - CNR,https://github.com/cnr-isti-vclab,Organization,N/D,Italy,False,305,303.0,2.0,0.006601,43,39.0,4.0,9817,9754.0,63.0,9.324,0.4233,6.6667,2.234,2026-09-21
9,polimi-ispl,Image and Sound Processing Lab,https://github.com/polimi-ispl,Organization,N/D,"Milan, Italy",False,97,97.0,0.0,0.0,76,71.0,5.0,921,906.0,15.0,8.8652,0.0,8.3333,0.5319,2026-09-21
10,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,136,131.0,5.0,0.038168,41,37.0,4.0,74,57.0,17.0,8.3277,1.0582,6.6667,0.6028,2026-09-21
11,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,330,325.0,5.0,0.015385,781,777.0,4.0,1715,1702.0,13.0,8.1859,1.0582,6.6667,0.461,2026-09-21
12,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,Organization,N/D,Italy,False,864,827.0,37.0,0.04474,5,5.0,0.0,21,20.0,1.0,7.8661,7.8307,0.0,0.0355,2026-09-21
