rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,201,161.0,40.0,0.248447,36,18.0,18.0,196,82.0,114.0,63.3605,32.6531,30.0,0.7075,2026-06-15
2,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,155,124.0,31.0,0.25,4,4.0,0.0,16396,11562.0,4834.0,55.3061,25.3061,0.0,30.0,2026-06-15
3,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,533,484.0,49.0,0.10124,6,6.0,0.0,1,1.0,0.0,40.0,40.0,0.0,0.0,2026-06-15
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2250,2219.0,31.0,0.01397,137,133.0,4.0,5932,5846.0,86.0,32.5065,25.3061,6.6667,0.5337,2026-06-15
5,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,319,315.0,4.0,0.012698,765,755.0,10.0,1670,1662.0,8.0,19.9816,3.2653,16.6667,0.0496,2026-06-15
6,virgili0,Virgilio Data Science,https://github.com/virgili0,Organization,N/D,Italy,False,117,96.0,21.0,0.21875,1,1.0,0.0,14698,14339.0,359.0,19.3708,17.1429,0.0,2.228,2026-06-15
7,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1870,1854.0,16.0,0.00863,427,426.0,1.0,6681,6670.0,11.0,14.7962,13.0612,1.6667,0.0683,2026-06-15
8,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,663,648.0,15.0,0.023148,33,33.0,0.0,1727,1685.0,42.0,12.5056,12.2449,0.0,0.2607,2026-06-15
9,ZapprTV,Zappr,https://github.com/ZapprTV,Organization,N/D,Italy,False,104,89.0,15.0,0.168539,13,13.0,0.0,100,113.0,0.0,12.2449,12.2449,0.0,0.0,2026-06-15
10,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,205,191.0,14.0,0.073298,61,61.0,0.0,1540,1470.0,70.0,11.863,11.4286,0.0,0.4344,2026-06-15
