rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,170,131.0,39.0,0.29771,4,4.0,0.0,18585,13180.0,5405.0,69.0,39.0,0.0,30.0,2026-07-08
2,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,555,515.0,40.0,0.07767,6,6.0,0.0,1,1.0,0.0,40.0,40.0,0.0,0.0,2026-07-08
3,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2275,2242.0,33.0,0.014719,139,138.0,1.0,6086,5910.0,176.0,36.4769,33.0,2.5,0.9769,2026-07-08
4,boolean-it,Boolean IT,https://github.com/boolean-it,Organization,N/D,Italy,False,56,55.0,1.0,0.018182,25,13.0,12.0,1,1.0,0.0,31.0,1.0,30.0,0.0,2026-07-08
5,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1884,1867.0,17.0,0.009106,432,427.0,5.0,6710,6683.0,27.0,29.6499,17.0,12.5,0.1499,2026-07-08
6,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,211,190.0,21.0,0.110526,39,36.0,3.0,219,183.0,36.0,28.6998,21.0,7.5,0.1998,2026-07-08
7,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,207,203.0,4.0,0.019704,70,61.0,9.0,1607,1530.0,77.0,26.9274,4.0,22.5,0.4274,2026-07-08
8,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,321,318.0,3.0,0.009434,769,760.0,9.0,1676,1668.0,8.0,25.5444,3.0,22.5,0.0444,2026-07-08
9,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,676,657.0,19.0,0.028919,33,33.0,0.0,1769,1706.0,63.0,19.3497,19.0,0.0,0.3497,2026-07-08
10,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,67,61.0,6.0,0.098361,23,18.0,5.0,213,202.0,11.0,18.5611,6.0,12.5,0.0611,2026-07-08
