rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2353,2318.0,35.0,0.015099,152,140.0,12.0,6454,6311.0,143.0,74.9595,40.0,30.0,4.9595,2026-09-19
2,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,60,51.0,9.0,0.176471,24,23.0,1.0,5057,4192.0,865.0,42.7857,10.2857,2.5,30.0,2026-09-19
3,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,Organization,N/D,Italy,False,862,828.0,34.0,0.041063,5,5.0,0.0,21,20.0,1.0,38.8918,38.8571,0.0,0.0347,2026-09-19
4,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,627,601.0,26.0,0.043261,6,6.0,0.0,2,2.0,0.0,29.7143,29.7143,0.0,0.0,2026-09-19
5,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,Organization,N/D,Italy,False,455,432.0,23.0,0.053241,3,3.0,0.0,92,87.0,5.0,26.4591,26.2857,0.0,0.1734,2026-09-19
6,dataciviclab,DataCivicLab,https://github.com/dataciviclab,Organization,N/D,Italy,False,44,43.0,1.0,0.023256,32,22.0,10.0,42,39.0,3.0,26.2469,1.1429,25.0,0.104,2026-09-19
7,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1931,1913.0,18.0,0.009409,433,432.0,1.0,6772,6738.0,34.0,24.2506,20.5714,2.5,1.1792,2026-09-19
8,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,235,221.0,14.0,0.063348,77,77.0,0.0,1844,1725.0,119.0,20.1272,16.0,0.0,4.1272,2026-09-19
9,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,718,703.0,15.0,0.021337,34,34.0,0.0,1933,1870.0,63.0,19.3278,17.1429,0.0,2.185,2026-09-19
10,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,194,187.0,7.0,0.037433,4,4.0,0.0,20020,19698.0,322.0,19.1676,8.0,0.0,11.1676,2026-09-19
