rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,203,162.0,41.0,0.253086,38,18.0,20.0,207,82.0,125.0,64.159,33.4694,30.0,0.6896,2026-06-25
2,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,159,125.0,34.0,0.272,4,4.0,0.0,17042,11604.0,5438.0,57.7551,27.7551,0.0,30.0,2026-06-25
3,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2260,2219.0,41.0,0.018477,139,135.0,4.0,5958,5850.0,108.0,40.0652,33.4694,6.0,0.5958,2026-06-25
4,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,537,488.0,49.0,0.10041,6,6.0,0.0,1,1.0,0.0,40.0,40.0,0.0,0.0,2026-06-25
5,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,321,315.0,6.0,0.019048,768,755.0,13.0,1671,1665.0,6.0,24.4311,4.898,19.5,0.0331,2026-06-25
6,virgili0,Virgilio Data Science,https://github.com/virgili0,Organization,N/D,Italy,False,119,96.0,23.0,0.239583,1,1.0,0.0,14737,14340.0,397.0,20.9657,18.7755,0.0,2.1901,2026-06-25
7,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1878,1858.0,20.0,0.010764,430,427.0,3.0,6694,6671.0,23.0,20.9534,16.3265,4.5,0.1269,2026-06-25
8,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,669,648.0,21.0,0.032407,33,33.0,0.0,1746,1687.0,59.0,17.4683,17.1429,0.0,0.3255,2026-06-25
9,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,207,195.0,12.0,0.061538,63,61.0,2.0,1568,1472.0,96.0,13.3255,9.7959,3.0,0.5296,2026-06-25
10,ZapprTV,Zappr,https://github.com/ZapprTV,Organization,N/D,Italy,False,104,89.0,15.0,0.168539,13,13.0,0.0,101,113.0,0.0,12.2449,12.2449,0.0,0.0,2026-06-25
11,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,Organization,N/D,Italy,False,805,791.0,14.0,0.017699,5,5.0,0.0,20,19.0,1.0,11.4341,11.4286,0.0,0.0055,2026-06-25
12,ondata,onData,https://github.com/ondata,Organization,N/D,Italy,False,127,118.0,9.0,0.076271,139,137.0,2.0,777,726.0,51.0,10.6283,7.3469,3.0,0.2814,2026-06-25
13,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,Organization,N/D,Italy,False,411,398.0,13.0,0.032663,3,3.0,0.0,82,82.0,0.0,10.6122,10.6122,0.0,0.0,2026-06-25
14,teamdigitale,Team Digitale,https://github.com/teamdigitale,Organization,PA,"Rome, Italy",True,147,142.0,5.0,0.035211,154,150.0,4.0,335,328.0,7.0,10.1202,4.0816,6.0,0.0386,2026-06-25
15,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,61,57.0,4.0,0.070175,21,17.0,4.0,210,200.0,10.0,9.3205,3.2653,6.0,0.0552,2026-06-25
16,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,122,114.0,8.0,0.070175,34,33.0,1.0,56,36.0,20.0,8.1409,6.5306,1.5,0.1103,2026-06-25
17,sapienzastudentsnetwork,Sapienza Students Network,https://github.com/sapienzastudentsnetwork,Organization,N/D,Italy,False,316,307.0,9.0,0.029316,30,30.0,0.0,390,377.0,13.0,7.4187,7.3469,0.0,0.0717,2026-06-25
18,agentvoiceresponse,Agent Voice Response,https://github.com/agentvoiceresponse,Organization,N/D,Italy,False,208,201.0,7.0,0.034826,44,43.0,1.0,194,188.0,6.0,7.2474,5.7143,1.5,0.0331,2026-06-25
19,gbionics,Generative Bionics,https://github.com/gbionics,Organization,N/D,Italy,False,93,87.0,6.0,0.068966,63,62.0,1.0,3061,3023.0,38.0,6.6076,4.898,1.5,0.2096,2026-06-25
20,aimagelab,AImageLab,https://github.com/aimagelab,Organization,N/D,"Modena, Italy",False,187,183.0,4.0,0.021858,113,111.0,2.0,4922,4868.0,54.0,6.5632,3.2653,3.0,0.2979,2026-06-25
21,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,427,419.0,8.0,0.019093,29,41.0,0.0,833,1616.0,0.0,6.5306,6.5306,0.0,0.0,2026-06-25
22,usbarmory,USB armory,https://github.com/usbarmory,Organization,N/D,Italy,False,188,181.0,7.0,0.038674,37,37.0,0.0,5005,4950.0,55.0,6.0177,5.7143,0.0,0.3034,2026-06-25
23,neuron-core,Neuron,https://github.com/neuron-core,Organization,N/D,Italy,False,83,78.0,5.0,0.064103,17,16.0,1.0,2312,2244.0,68.0,5.9568,4.0816,1.5,0.3751,2026-06-25
24,polito-webapp1,Web Applications I / Applicazioni Web I,https://github.com/polito-webapp1,Organization,N/D,Italy,False,171,164.0,7.0,0.042683,13,13.0,0.0,83,83.0,0.0,5.7143,5.7143,0.0,0.0,2026-06-25
25,polito,Politecnico di Torino,https://github.com/polito,Organization,N/D,Italy,False,235,230.0,5.0,0.021739,9,8.0,1.0,222,220.0,2.0,5.5927,4.0816,1.5,0.011,2026-06-25
26,clastix,Clastix Labs,https://github.com/clastix,Organization,N/D,Italy,False,139,136.0,3.0,0.022059,52,50.0,2.0,2369,2345.0,24.0,5.5814,2.449,3.0,0.1324,2026-06-25
27,volumio,Volumio Srl,https://github.com/volumio,User,N/D,Firenze - Italia,False,1062,1058.0,4.0,0.003781,135,134.0,1.0,2377,2370.0,7.0,4.8039,3.2653,1.5,0.0386,2026-06-25
28,noi-techpark,NOI Techpark - Südtirol / Alto Adige,https://github.com/noi-techpark,Organization,N/D,"Italy, South Tyrol, 39100 Bolzano/Bozen, Volta street 13/A",False,67,65.0,2.0,0.030769,257,255.0,2.0,208,206.0,2.0,4.6437,1.6327,3.0,0.011,2026-06-25
29,SapienzaNLP,Sapienza NLP group,https://github.com/SapienzaNLP,Organization,N/D,"Rome, Italy",False,135,130.0,5.0,0.038462,84,84.0,0.0,1466,1456.0,10.0,4.1368,4.0816,0.0,0.0552,2026-06-25
30,cyberpandino,Cyberpandino,https://github.com/cyberpandino,Organization,N/D,Italy,False,160,155.0,5.0,0.032258,1,1.0,0.0,483,475.0,8.0,4.1258,4.0816,0.0,0.0441,2026-06-25
31,KatharaFramework,Kathará,https://github.com/KatharaFramework,Organization,N/D,Italy,False,97,94.0,3.0,0.031915,15,14.0,1.0,934,911.0,23.0,4.0759,2.449,1.5,0.1269,2026-06-25
32,NethServer,NethServer,https://github.com/NethServer,Organization,N/D,Italy,False,140,137.0,3.0,0.021898,299,298.0,1.0,669,650.0,19.0,4.0538,2.449,1.5,0.1048,2026-06-25
33,geosolutions-it,GeoSolutions,https://github.com/geosolutions-it,Organization,N/D,Italy & US,False,222,219.0,3.0,0.013699,155,154.0,1.0,1786,1777.0,9.0,3.9986,2.449,1.5,0.0497,2026-06-25
34,dataciviclab,DataCivicLab,https://github.com/dataciviclab,Organization,N/D,Italy,False,43,40.0,3.0,0.075,16,15.0,1.0,35,29.0,6.0,3.9821,2.449,1.5,0.0331,2026-06-25
35,INGV,Istituto Nazionale di Geofisica e Vulcanologia,https://github.com/INGV,Organization,N/D,"Via di Vigna Murata 605 - 00143, Rome, Italy",False,69,68.0,1.0,0.014706,76,74.0,2.0,141,141.0,0.0,3.8163,0.8163,3.0,0.0,2026-06-25
36,Luce-Org,Lucebox AI,https://github.com/Luce-Org,Organization,N/D,Italy,False,63,59.0,4.0,0.067797,3,3.0,0.0,2628,2555.0,73.0,3.668,3.2653,0.0,0.4027,2026-06-25
37,robotology,Robotology,https://github.com/robotology,Organization,N/D,Italy,False,329,325.0,4.0,0.012308,147,147.0,0.0,2702,2688.0,14.0,3.3425,3.2653,0.0,0.0772,2026-06-25
38,BendingSpoons,Bending Spoons,https://github.com/BendingSpoons,Organization,N/D,"Milan, Italy",False,278,274.0,4.0,0.014599,3,3.0,0.0,2955,2957.0,0.0,3.2653,3.2653,0.0,0.0,2026-06-25
39,mosaico-labs,mosaico,https://github.com/mosaico-labs,Organization,N/D,Italy,False,71,72.0,0.0,0.0,7,5.0,2.0,1076,1060.0,16.0,3.0883,0.0,3.0,0.0883,2026-06-25
40,sisinflab,Information Systems Lab @ Polytechnic University of Bari,https://github.com/sisinflab,Organization,N/D,"Bari, Italy",False,44,44.0,0.0,0.0,143,141.0,2.0,1080,1078.0,2.0,3.011,0.0,3.0,0.011,2026-06-25
41,cheshire-cat-ai,Cheshire Cat AI,https://github.com/cheshire-cat-ai,Organization,N/D,Italy,False,626,623.0,3.0,0.004815,23,25.0,0.0,3395,3375.0,20.0,2.5593,2.449,0.0,0.1103,2026-06-25
42,ChibiOS,ChibiOS,https://github.com/ChibiOS,Organization,N/D,Italy,False,112,109.0,3.0,0.027523,4,4.0,0.0,1027,1019.0,8.0,2.4931,2.449,0.0,0.0441,2026-06-25
43,meetecho,Meetecho,https://github.com/meetecho,Organization,N/D,"Napoli, Italy",False,159,158.0,1.0,0.006329,18,17.0,1.0,9779,9749.0,30.0,2.4818,0.8163,1.5,0.1655,2026-06-25
44,g3w-suite,G3W-SUITE,https://github.com/g3w-suite,Organization,N/D,Italy,False,74,71.0,3.0,0.042254,32,32.0,0.0,124,123.0,1.0,2.4545,2.449,0.0,0.0055,2026-06-25
45,UniversitaDellaCalabria,Università della Calabria,https://github.com/UniversitaDellaCalabria,Organization,N/D,"Italy, Rende",False,68,65.0,3.0,0.046154,69,69.0,0.0,251,250.0,1.0,2.4545,2.449,0.0,0.0055,2026-06-25
46,monocasual,Monocasual Laboratories,https://github.com/monocasual,Organization,N/D,Italy,False,45,44.0,1.0,0.022727,16,15.0,1.0,2076,2068.0,8.0,2.3605,0.8163,1.5,0.0441,2026-06-25
47,code-with-the-italians,Code with the Italians,https://github.com/code-with-the-italians,Organization,N/D,Italy,False,43,42.0,1.0,0.02381,7,6.0,1.0,303,298.0,5.0,2.3439,0.8163,1.5,0.0276,2026-06-25
48,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,88,86.0,2.0,0.023256,19,19.0,0.0,5423,5298.0,125.0,2.3222,1.6327,0.0,0.6896,2026-06-25
49,Corsinvest,Corsinvest Srl,https://github.com/Corsinvest,Organization,N/D,Italy,False,117,115.0,2.0,0.017391,28,28.0,0.0,3175,3106.0,69.0,2.0133,1.6327,0.0,0.3807,2026-06-25
50,ZiggyCreatures,ZiggyCreatures,https://github.com/ZiggyCreatures,Organization,N/D,Italy,False,67,65.0,2.0,0.030769,1,1.0,0.0,3799,3754.0,45.0,1.8809,1.6327,0.0,0.2483,2026-06-25
51,mathLab,SISSA mathLab,https://github.com/mathLab,Organization,N/D,"Via Bonomea 265, 34133 Trieste, TS, Italy",False,230,228.0,2.0,0.008772,30,30.0,0.0,1787,1753.0,34.0,1.8202,1.6327,0.0,0.1876,2026-06-25
52,TheWebScrapingClub,The Web Scraping Club,https://github.com/TheWebScrapingClub,Organization,N/D,Italy,False,169,167.0,2.0,0.011976,6,6.0,0.0,1967,1955.0,12.0,1.6989,1.6327,0.0,0.0662,2026-06-25
53,downthemall,DownThemAll!,https://github.com/downthemall,Organization,N/D,Italy/Germany,False,45,43.0,2.0,0.046512,9,9.0,0.0,1748,1739.0,9.0,1.6823,1.6327,0.0,0.0497,2026-06-25
54,ArtisanROM,ArtisanROM,https://github.com/ArtisanROM,Organization,N/D,Italy,False,45,43.0,2.0,0.046512,2,2.0,0.0,162,155.0,7.0,1.6713,1.6327,0.0,0.0386,2026-06-25
55,pythonitalia,Python Italia,https://github.com/pythonitalia,Organization,N/D,Italy,False,89,87.0,2.0,0.022989,45,46.0,0.0,263,260.0,3.0,1.6492,1.6327,0.0,0.0166,2026-06-25
56,ministero-salute,Ministero della Salute,https://github.com/ministero-salute,Organization,PA,Italy,False,75,73.0,2.0,0.027397,103,103.0,0.0,437,434.0,3.0,1.6492,1.6327,0.0,0.0166,2026-06-25
57,opencitations,OpenCitations,https://github.com/opencitations,Organization,N/D,"Bologna, Italy",False,106,104.0,2.0,0.019231,86,86.0,0.0,308,306.0,2.0,1.6437,1.6327,0.0,0.011,2026-06-25
58,commercelayer,Commerce Layer,https://github.com/commercelayer,Organization,N/D,Italy,False,99,97.0,2.0,0.020619,86,86.0,0.0,669,667.0,2.0,1.6437,1.6327,0.0,0.011,2026-06-25
59,datocms,DatoCMS,https://github.com/datocms,Organization,N/D,Italy,False,88,86.0,2.0,0.023256,95,95.0,0.0,1305,1303.0,2.0,1.6437,1.6327,0.0,0.011,2026-06-25
60,OctoGramApp,OctoGram,https://github.com/OctoGramApp,Organization,N/D,Italy,False,51,49.0,2.0,0.040816,6,6.0,0.0,430,428.0,2.0,1.6437,1.6327,0.0,0.011,2026-06-25
61,cartabinaria,CartaBinaria,https://github.com/cartabinaria,Organization,N/D,Italy,False,281,279.0,2.0,0.007168,198,198.0,0.0,157,156.0,1.0,1.6382,1.6327,0.0,0.0055,2026-06-25
62,sighupio,SIGHUP,https://github.com/sighupio,Organization,N/D,Italy,False,62,60.0,2.0,0.033333,54,54.0,0.0,2341,2340.0,1.0,1.6382,1.6327,0.0,0.0055,2026-06-25
63,openforis,Open Foris,https://github.com/openforis,Organization,N/D,"Rome, Italy",False,125,126.0,0.0,0.0,60,59.0,1.0,619,615.0,4.0,1.5221,0.0,1.5,0.0221,2026-06-25
64,maize-tech,MAIZE,https://github.com/maize-tech,Organization,N/D,Italy,False,38,38.0,0.0,0.0,23,22.0,1.0,1641,1638.0,3.0,1.5166,0.0,1.5,0.0166,2026-06-25
65,Programmazione-Avanzata-2025-26,Programmazione Avanzata 2025-26,https://github.com/Programmazione-Avanzata-2025-26,Organization,N/D,Italy,False,107,108.0,0.0,0.0,33,32.0,1.0,5,5.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
66,XENONnT,XENONnT Dark Matter experiment,https://github.com/XENONnT,Organization,N/D,"Gran Sasso, Italy",False,83,84.0,0.0,0.0,49,48.0,1.0,96,96.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
67,CMCC-Foundation,CMCC Foundation,https://github.com/CMCC-Foundation,Organization,N/D,"Lecce, Italy",False,57,57.0,0.0,0.0,59,58.0,1.0,29,29.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
68,boolean-it,Boolean IT,https://github.com/boolean-it,Organization,N/D,Italy,False,55,55.0,0.0,0.0,14,13.0,1.0,1,1.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
69,datalogic,Datalogic,https://github.com/datalogic,Organization,N/D,"Bologna, Italy",False,46,46.0,0.0,0.0,86,85.0,1.0,108,108.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
70,event-driven-robotics,Event Driven Perception for Robotics,https://github.com/event-driven-robotics,Organization,N/D,"Genova, Italy",False,46,46.0,0.0,0.0,71,70.0,1.0,191,191.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
71,VicidominiLab,Vicidomini Lab,https://github.com/VicidominiLab,Organization,N/D,"Genova, Italy",False,39,39.0,0.0,0.0,30,29.0,1.0,73,73.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
72,WEEE-Open,WEEE Open,https://github.com/WEEE-Open,Organization,N/D,"Torino, Italy",False,39,39.0,0.0,0.0,71,70.0,1.0,135,135.0,0.0,1.5,0.0,1.5,0.0,2026-06-25
73,cnr-isti-vclab,Visual Computing Lab - ISTI - CNR,https://github.com/cnr-isti-vclab,Organization,N/D,Italy,False,297,296.0,1.0,0.003378,39,39.0,0.0,9661,9598.0,63.0,1.1639,0.8163,0.0,0.3476,2026-06-25
74,EtheaDev,Ethea S.r.l.,https://github.com/EtheaDev,Organization,N/D,Italy,False,179,178.0,1.0,0.005618,21,21.0,0.0,1970,1930.0,40.0,1.037,0.8163,0.0,0.2207,2026-06-25
75,ami-iit,Artificial and Mechanical Intelligence ,https://github.com/ami-iit,Organization,N/D,Italy,False,255,254.0,1.0,0.003937,168,168.0,0.0,610,575.0,35.0,1.0094,0.8163,0.0,0.1931,2026-06-25
76,beelzebub-labs,Beelzebub Labs,https://github.com/beelzebub-labs,Organization,N/D,Italy,False,43,42.0,1.0,0.02381,6,6.0,0.0,2176,2158.0,18.0,0.9156,0.8163,0.0,0.0993,2026-06-25
77,gem,Global Earthquake Model,https://github.com/gem,Organization,N/D,"Pavia, Italy",False,125,124.0,1.0,0.008065,96,96.0,0.0,696,691.0,5.0,0.8439,0.8163,0.0,0.0276,2026-06-25
78,prisma-lab,Prisma Lab,https://github.com/prisma-lab,Organization,N/D,"Naples, Italy",False,52,51.0,1.0,0.019608,38,38.0,0.0,133,129.0,4.0,0.8384,0.8163,0.0,0.0221,2026-06-25
79,sebaubuntu-python,SebaUbuntu's Python projects,https://github.com/sebaubuntu-python,Organization,N/D,Italy,False,50,49.0,1.0,0.020408,9,9.0,0.0,605,602.0,3.0,0.8329,0.8163,0.0,0.0166,2026-06-25
