rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2334,2291.0,43.0,0.018769,142,139.0,3.0,6359,6187.0,172.0,67.8099,40.0,18.0,9.8099,2026-08-28
2,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,52,45.0,7.0,0.155556,23,20.0,3.0,4362,3995.0,367.0,45.4432,6.5116,18.0,20.9316,2026-08-28
3,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,190,180.0,10.0,0.055556,4,4.0,0.0,19792,19266.0,526.0,39.3023,9.3023,0.0,30.0,2026-08-28
4,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,246,221.0,25.0,0.113122,50,48.0,2.0,275,246.0,29.0,36.9098,23.2558,12.0,1.654,2026-08-28
5,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,133,127.0,6.0,0.047244,38,33.0,5.0,68,48.0,20.0,36.7221,5.5814,30.0,1.1407,2026-08-28
6,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,605,570.0,35.0,0.061404,6,6.0,0.0,2,1.0,1.0,32.6152,32.5581,0.0,0.057,2026-08-28
7,agile-lab-dev,Agile Lab,https://github.com/agile-lab-dev,Organization,N/D,"Turin, Italy",False,51,52.0,0.0,0.0,125,120.0,5.0,410,409.0,1.0,30.057,0.0,30.0,0.057,2026-08-28
8,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,326,323.0,3.0,0.009288,778,774.0,4.0,1705,1686.0,19.0,27.8743,2.7907,24.0,1.0837,2026-08-28
9,aimagelab,AImageLab,https://github.com/aimagelab,Organization,N/D,"Modena, Italy",False,195,193.0,2.0,0.010363,117,113.0,4.0,4964,4936.0,28.0,27.4574,1.8605,24.0,1.597,2026-08-28
10,dataciviclab,DataCivicLab,https://github.com/dataciviclab,Organization,N/D,Italy,False,43,43.0,0.0,0.0,25,21.0,4.0,39,39.0,0.0,24.0,0.0,24.0,0.0,2026-08-28
11,OpenOSINT,OpenOSINT,https://github.com/OpenOSINT,Organization,N/D,Italy,False,58,50.0,8.0,0.16,1,1.0,0.0,1477,1219.0,258.0,22.1567,7.4419,0.0,14.7148,2026-08-28
12,typeonce-dev,Typeonce,https://github.com/typeonce-dev,Organization,N/D,Italy,False,103,101.0,2.0,0.019802,15,14.0,1.0,893,665.0,228.0,20.8643,1.8605,6.0,13.0038,2026-08-28
13,cnr-isti-vclab,Visual Computing Lab - ISTI - CNR,https://github.com/cnr-isti-vclab,Organization,N/D,Italy,False,303,297.0,6.0,0.020202,41,39.0,2.0,9763,9715.0,48.0,20.319,5.5814,12.0,2.7376,2026-08-28
14,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,224,213.0,11.0,0.051643,77,76.0,1.0,1740,1670.0,70.0,20.225,10.2326,6.0,3.9924,2026-08-28
15,idra-lab, Interdepartmental Robotics Labs (IDRA),https://github.com/idra-lab,Organization,N/D,Italy,False,47,46.0,1.0,0.021739,103,100.0,3.0,278,273.0,5.0,19.2154,0.9302,18.0,0.2852,2026-08-28
16,sisinflab,Information Systems Lab @ Polytechnic University of Bari,https://github.com/sisinflab,Organization,N/D,"Bari, Italy",False,45,44.0,1.0,0.022727,148,145.0,3.0,1093,1088.0,5.0,19.2154,0.9302,18.0,0.2852,2026-08-28
17,eml-eda,"Efficient ML @ EDA Group, Politecnico di Torino",https://github.com/eml-eda,Organization,N/D,Italy,False,40,40.0,0.0,0.0,59,56.0,3.0,263,260.0,3.0,18.1711,0.0,18.0,0.1711,2026-08-28
18,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,94,91.0,3.0,0.032967,22,21.0,1.0,5730,5570.0,160.0,17.9162,2.7907,6.0,9.1255,2026-08-28
19,Luce-Org,Lucebox AI,https://github.com/Luce-Org,Organization,N/D,Italy,False,81,71.0,10.0,0.140845,3,3.0,0.0,2837,2724.0,113.0,15.7472,9.3023,0.0,6.4449,2026-08-28
20,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,708,695.0,13.0,0.018705,34,34.0,0.0,1893,1847.0,46.0,14.7166,12.093,0.0,2.6236,2026-08-28
