rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,NON-OS,NØNOS,https://github.com/NON-OS,Organization,N/D,Italy,False,231,42.0,189.0,4.5,22,17.0,5.0,349,105.0,244.0,56.4461,40.0,7.8947,8.5514,2026-09-24
2,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,60,51.0,9.0,0.176471,26,23.0,3.0,5109,4253.0,856.0,36.6416,1.9048,4.7368,30.0,2026-09-24
3,dataciviclab,DataCivicLab,https://github.com/dataciviclab,Organization,N/D,Italy,False,44,43.0,1.0,0.023256,42,23.0,19.0,43,39.0,4.0,30.3518,0.2116,30.0,0.1402,2026-09-24
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2356,2325.0,31.0,0.013333,153,142.0,11.0,6489,6345.0,144.0,28.976,6.5608,17.3684,5.0467,2026-09-24
5,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,195,189.0,6.0,0.031746,4,4.0,0.0,20080,19759.0,321.0,12.5198,1.2698,0.0,11.25,2026-09-24
6,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,96,94.0,2.0,0.021277,25,21.0,4.0,5870,5707.0,163.0,12.4517,0.4233,6.3158,5.7126,2026-09-24
7,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,81,78.0,3.0,0.038462,28,24.0,4.0,354,219.0,135.0,11.682,0.6349,6.3158,4.7313,2026-09-24
8,idra-lab, Interdepartmental Robotics Labs (IDRA),https://github.com/idra-lab,Organization,N/D,Italy,False,48,47.0,1.0,0.021277,107,101.0,6.0,283,278.0,5.0,9.8606,0.2116,9.4737,0.1752,2026-09-24
9,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,136,131.0,5.0,0.038168,42,37.0,5.0,78,57.0,21.0,9.6889,1.0582,7.8947,0.736,2026-09-24
10,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,330,326.0,4.0,0.01227,782,777.0,5.0,1715,1702.0,13.0,9.1969,0.8466,7.8947,0.4556,2026-09-24
11,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,Organization,N/D,Italy,False,870,828.0,42.0,0.050725,5,5.0,0.0,21,20.0,1.0,8.9239,8.8889,0.0,0.035,2026-09-24
12,polimi-ispl,Image and Sound Processing Lab,https://github.com/polimi-ispl,Organization,N/D,"Milan, Italy",False,97,97.0,0.0,0.0,76,71.0,5.0,922,906.0,16.0,8.4555,0.0,7.8947,0.5607,2026-09-24
13,agile-lab-dev,Agile Lab,https://github.com/agile-lab-dev,Organization,N/D,"Turin, Italy",False,51,51.0,0.0,0.0,128,123.0,5.0,413,410.0,3.0,7.9999,0.0,7.8947,0.1051,2026-09-24
14,OpenOSINT,OpenOSINT,https://github.com/OpenOSINT,Organization,N/D,Italy,False,66,58.0,8.0,0.137931,1,1.0,0.0,1632,1460.0,172.0,7.7212,1.6931,0.0,6.028,2026-09-24
15,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1933,1917.0,16.0,0.008346,434,432.0,2.0,6772,6741.0,31.0,7.6306,3.3862,3.1579,1.0864,2026-09-24
16,cnr-isti-vclab,Visual Computing Lab - ISTI - CNR,https://github.com/cnr-isti-vclab,Organization,N/D,Italy,False,305,303.0,2.0,0.006601,43,40.0,3.0,9823,9755.0,68.0,7.5433,0.4233,4.7368,2.3832,2026-09-24
17,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,238,224.0,14.0,0.0625,77,77.0,0.0,1865,1737.0,128.0,7.4489,2.963,0.0,4.486,2026-09-24
18,edge-group-polito,EDGE Group - PoliTO,https://github.com/edge-group-polito,Organization,N/D,Italy,False,49,49.0,0.0,0.0,51,47.0,4.0,106,99.0,7.0,6.5611,0.0,6.3158,0.2453,2026-09-24
19,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,632,601.0,31.0,0.051581,6,6.0,0.0,2,2.0,0.0,6.5608,6.5608,0.0,0.0,2026-09-24
20,mosaico-labs,mosaico,https://github.com/mosaico-labs,Organization,N/D,Italy,False,82,73.0,9.0,0.123288,8,9.0,0.0,1250,1143.0,107.0,5.6548,1.9048,0.0,3.75,2026-09-24
21,aimagelab,AImageLab,https://github.com/aimagelab,Organization,N/D,"Modena, Italy",False,199,195.0,4.0,0.020513,118,116.0,2.0,5002,4959.0,43.0,5.5115,0.8466,3.1579,1.507,2026-09-24
22,Luce-Org,Lucebox AI,https://github.com/Luce-Org,Organization,N/D,Italy,False,84,76.0,8.0,0.105263,3,3.0,0.0,2906,2815.0,91.0,4.8824,1.6931,0.0,3.1893,2026-09-24
23,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,717,704.0,13.0,0.018466,34,34.0,0.0,1942,1884.0,58.0,4.784,2.7513,0.0,2.0327,2026-09-24
24,g3w-suite,G3W-SUITE,https://github.com/g3w-suite,Organization,N/D,Italy,False,74,74.0,0.0,0.0,35,32.0,3.0,126,125.0,1.0,4.7719,0.0,4.7368,0.035,2026-09-24
25,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,Organization,N/D,Italy,False,455,433.0,22.0,0.050808,3,3.0,0.0,92,89.0,3.0,4.7612,4.6561,0.0,0.1051,2026-09-24
26,Programmazione-Avanzata-2025-26,Programmazione Avanzata 2025-26,https://github.com/Programmazione-Avanzata-2025-26,Organization,N/D,Italy,False,113,108.0,5.0,0.046296,35,33.0,2.0,5,5.0,0.0,4.2161,1.0582,3.1579,0.0,2026-09-24
27,PoliNetworkOrg,PoliNetwork APS,https://github.com/PoliNetworkOrg,Organization,N/D,Italy,False,49,45.0,4.0,0.088889,35,33.0,2.0,34,32.0,2.0,4.0745,0.8466,3.1579,0.0701,2026-09-24
28,neuron-core,Neuron,https://github.com/neuron-core,Organization,N/D,Italy,False,88,86.0,2.0,0.023256,18,17.0,1.0,2456,2408.0,48.0,3.6845,0.4233,1.5789,1.6822,2026-09-24
29,UniversitaDellaCalabria,Università della Calabria,https://github.com/UniversitaDellaCalabria,Organization,N/D,"Italy, Rende",False,73,71.0,2.0,0.028169,71,69.0,2.0,255,255.0,0.0,3.5812,0.4233,3.1579,0.0,2026-09-24
30,sisinflab,Information Systems Lab @ Polytechnic University of Bari,https://github.com/sisinflab,Organization,N/D,"Bari, Italy",False,45,45.0,0.0,0.0,149,147.0,2.0,1103,1093.0,10.0,3.5084,0.0,3.1579,0.3505,2026-09-24
31,INGV,Istituto Nazionale di Geofisica e Vulcanologia,https://github.com/INGV,Organization,N/D,"Via di Vigna Murata 605 - 00143, Rome, Italy",False,73,72.0,1.0,0.013889,80,78.0,2.0,147,147.0,0.0,3.3695,0.2116,3.1579,0.0,2026-09-24
32,eml-eda,"Efficient ML @ EDA Group, Politecnico di Torino",https://github.com/eml-eda,Organization,N/D,Italy,False,40,40.0,0.0,0.0,60,58.0,2.0,268,263.0,5.0,3.3331,0.0,3.1579,0.1752,2026-09-24
33,typeonce-dev,Typeonce,https://github.com/typeonce-dev,Organization,N/D,Italy,False,102,102.0,0.0,0.0,15,15.0,0.0,940,847.0,93.0,3.2593,0.0,0.0,3.2593,2026-09-24
34,polito-informatica, Informatica (Politecnico di Torino),https://github.com/polito-informatica,Organization,N/D,Italy,False,166,160.0,6.0,0.0375,8,7.0,1.0,93,91.0,2.0,2.9189,1.2698,1.5789,0.0701,2026-09-24
35,usbarmory,USB armory,https://github.com/usbarmory,Organization,N/D,Italy,False,197,191.0,6.0,0.031414,36,37.0,0.0,5098,5057.0,41.0,2.7068,1.2698,0.0,1.4369,2026-09-24
36,unicef-drp,Office of Strategy and Evidence Innocenti,https://github.com/unicef-drp,Organization,N/D,Italy,False,108,105.0,3.0,0.028571,54,53.0,1.0,140,134.0,6.0,2.4241,0.6349,1.5789,0.2103,2026-09-24
37,sparkfabrik,SparkFabrik,https://github.com/sparkfabrik,Organization,N/D,Italy,False,54,53.0,1.0,0.018868,119,118.0,1.0,677,660.0,17.0,2.3864,0.2116,1.5789,0.5958,2026-09-24
38,cyberpandino,Cyberpandino,https://github.com/cyberpandino,Organization,N/D,Italy,False,185,177.0,8.0,0.045198,1,1.0,0.0,555,540.0,15.0,2.2188,1.6931,0.0,0.5257,2026-09-24
39,osservatorionessuno,Osservatorio Nessuno OdV,https://github.com/osservatorionessuno,Organization,N/D,Italy,False,54,47.0,7.0,0.148936,14,14.0,0.0,111,91.0,20.0,2.1824,1.4815,0.0,0.7009,2026-09-24
40,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,247,246.0,1.0,0.004065,51,50.0,1.0,285,275.0,10.0,2.1411,0.2116,1.5789,0.3505,2026-09-24
