rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,NON-OS,NØNOS,https://github.com/NON-OS,Organization,N/D,Italy,False,227,42.0,185.0,4.404762,22,17.0,5.0,343,105.0,238.0,56.6357,40.0,8.3333,8.3023,2026-09-25
2,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,60,51.0,9.0,0.176471,26,23.0,3.0,5118,4258.0,860.0,36.9459,1.9459,5.0,30.0,2026-09-25
3,dataciviclab,DataCivicLab,https://github.com/dataciviclab,Organization,N/D,Italy,False,44,43.0,1.0,0.023256,43,25.0,18.0,43,39.0,4.0,30.3558,0.2162,30.0,0.1395,2026-09-25
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2358,2327.0,31.0,0.013322,153,142.0,11.0,6498,6349.0,149.0,30.2337,6.7027,18.3333,5.1977,2026-09-25
5,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,81,78.0,3.0,0.038462,28,24.0,4.0,420,219.0,201.0,14.3269,0.6486,6.6667,7.0116,2026-09-25
6,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,96,94.0,2.0,0.021277,25,21.0,4.0,5873,5717.0,156.0,12.541,0.4324,6.6667,5.4419,2026-09-25
7,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,195,190.0,5.0,0.026316,4,4.0,0.0,20091,19768.0,323.0,12.3485,1.0811,0.0,11.2674,2026-09-25
8,idra-lab, Interdepartmental Robotics Labs (IDRA),https://github.com/idra-lab,Organization,N/D,Italy,False,48,47.0,1.0,0.021277,107,101.0,6.0,283,278.0,5.0,10.3906,0.2162,10.0,0.1744,2026-09-25
9,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,136,132.0,4.0,0.030303,42,37.0,5.0,78,57.0,21.0,9.9308,0.8649,8.3333,0.7326,2026-09-25
10,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,330,326.0,4.0,0.01227,783,778.0,5.0,1716,1703.0,13.0,9.6517,0.8649,8.3333,0.4535,2026-09-25
