rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,235,212.0,23.0,0.108491,50,39.0,11.0,264,221.0,43.0,54.6045,23.0,30.0,1.6045,2026-08-13
2,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,185,174.0,11.0,0.063218,4,4.0,0.0,19585,18781.0,804.0,41.0,11.0,0.0,30.0,2026-08-13
3,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,597,557.0,40.0,0.071813,6,6.0,0.0,2,1.0,1.0,40.0373,40.0,0.0,0.0373,2026-08-13
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2306,2276.0,30.0,0.013181,139,139.0,0.0,6238,6112.0,126.0,34.7015,30.0,0.0,4.7015,2026-08-13
5,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,49,39.0,10.0,0.25641,23,19.0,4.0,4130,3806.0,324.0,32.9986,10.0,10.9091,12.0896,2026-08-13
6,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,221,208.0,13.0,0.0625,77,71.0,6.0,1712,1624.0,88.0,32.6472,13.0,16.3636,3.2836,2026-08-13
7,OpenOSINT,OpenOSINT,https://github.com/OpenOSINT,Organization,N/D,Italy,False,57,41.0,16.0,0.390244,1,1.0,0.0,1397,976.0,421.0,31.709,16.0,0.0,15.709,2026-08-13
8,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1911,1885.0,26.0,0.013793,432,432.0,0.0,6734,6712.0,22.0,26.8209,26.0,0.0,0.8209,2026-08-13
9,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,701,678.0,23.0,0.033923,34,34.0,0.0,1860,1771.0,89.0,26.3209,23.0,0.0,3.3209,2026-08-13
10,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,325,322.0,3.0,0.009317,777,770.0,7.0,1700,1681.0,19.0,22.7999,3.0,19.0909,0.709,2026-08-13
11,gbionics,Generative Bionics,https://github.com/gbionics,Organization,N/D,Italy,False,111,98.0,13.0,0.132653,67,66.0,1.0,3168,3099.0,69.0,18.3019,13.0,2.7273,2.5746,2026-08-13
12,BendingSpoons,Bending Spoons,https://github.com/BendingSpoons,Organization,N/D,"Milan, Italy",False,301,286.0,15.0,0.052448,3,3.0,0.0,2953,2955.0,0.0,15.0,15.0,0.0,0.0,2026-08-13
13,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,445,433.0,12.0,0.027714,30,30.0,0.0,860,846.0,14.0,12.5224,12.0,0.0,0.5224,2026-08-13
14,beelzebub-labs,Beelzebub Labs,https://github.com/beelzebub-labs,Organization,N/D,Italy,False,53,44.0,9.0,0.204545,7,7.0,0.0,2259,2200.0,59.0,11.2015,9.0,0.0,2.2015,2026-08-13
15,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,93,89.0,4.0,0.044944,22,21.0,1.0,5618,5501.0,117.0,11.0929,4.0,2.7273,4.3657,2026-08-13
16,agile-lab-dev,Agile Lab,https://github.com/agile-lab-dev,Organization,N/D,"Turin, Italy",False,51,52.0,0.0,0.0,123,119.0,4.0,409,405.0,4.0,11.0583,0.0,10.9091,0.1493,2026-08-13
17,typeonce-dev,Typeonce,https://github.com/typeonce-dev,Organization,N/D,Italy,False,101,101.0,0.0,0.0,15,13.0,2.0,772,625.0,147.0,10.9396,0.0,5.4545,5.4851,2026-08-13
18,NethServer,NethServer,https://github.com/NethServer,Organization,N/D,Italy,False,148,141.0,7.0,0.049645,300,299.0,1.0,695,675.0,20.0,10.4735,7.0,2.7273,0.7463,2026-08-13
19,cyberpandino,Cyberpandino,https://github.com/cyberpandino,Organization,N/D,Italy,False,172,163.0,9.0,0.055215,1,1.0,0.0,531,493.0,38.0,10.4179,9.0,0.0,1.4179,2026-08-13
20,Luce-Org,Lucebox AI,https://github.com/Luce-Org,Organization,N/D,Italy,False,74,67.0,7.0,0.104478,3,3.0,0.0,2772,2685.0,87.0,10.2463,7.0,0.0,3.2463,2026-08-13
21,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,73,66.0,7.0,0.106061,24,23.0,1.0,219,214.0,5.0,9.9138,7.0,2.7273,0.1866,2026-08-13
22,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,Organization,N/D,Italy,False,426,417.0,9.0,0.021583,3,3.0,0.0,89,86.0,3.0,9.1119,9.0,0.0,0.1119,2026-08-13
23,Corsinvest,Corsinvest Srl,https://github.com/Corsinvest,Organization,N/D,Italy,False,126,123.0,3.0,0.02439,29,28.0,1.0,3268,3199.0,69.0,8.3019,3.0,2.7273,2.5746,2026-08-13
24,ArtisanROM,ArtisanROM,https://github.com/ArtisanROM,Organization,N/D,Italy,False,53,46.0,7.0,0.152174,2,2.0,0.0,191,172.0,19.0,7.709,7.0,0.0,0.709,2026-08-13
25,ZiggyCreatures,ZiggyCreatures,https://github.com/ZiggyCreatures,Organization,N/D,Italy,False,73,67.0,6.0,0.089552,1,1.0,0.0,3866,3823.0,43.0,7.6045,6.0,0.0,1.6045,2026-08-13
26,CentroEPiaggio,"Bioengineering and Robotics Research Center ""E. Piaggio"" - University of Pisa",https://github.com/CentroEPiaggio,Organization,N/D,"Via Diotisalvi, 2. Pisa, Italy",False,48,46.0,2.0,0.043478,168,166.0,2.0,476,472.0,4.0,7.6038,2.0,5.4545,0.1493,2026-08-13
27,mosaico-labs,mosaico,https://github.com/mosaico-labs,Organization,N/D,Italy,False,73,72.0,1.0,0.013889,9,7.0,2.0,1111,1083.0,28.0,7.4993,1.0,5.4545,1.0448,2026-08-13
28,unibo,University of Bologna,https://github.com/unibo,Organization,N/D,"Bologna, Italy",False,66,64.0,2.0,0.03125,8,6.0,2.0,6,6.0,0.0,7.4545,2.0,5.4545,0.0,2026-08-13
29,aimagelab,AImageLab,https://github.com/aimagelab,Organization,N/D,"Modena, Italy",False,194,193.0,1.0,0.005181,115,113.0,2.0,4952,4927.0,25.0,7.3874,1.0,5.4545,0.9328,2026-08-13
30,cheshire-cat-ai,Cheshire Cat AI,https://github.com/cheshire-cat-ai,Organization,N/D,Italy,False,639,632.0,7.0,0.011076,23,23.0,0.0,3416,3408.0,8.0,7.2985,7.0,0.0,0.2985,2026-08-13
31,ondata,onData,https://github.com/ondata,Organization,N/D,Italy,False,133,129.0,4.0,0.031008,141,140.0,1.0,797,785.0,12.0,7.175,4.0,2.7273,0.4478,2026-08-13
32,clastix,Clastix Labs,https://github.com/clastix,Organization,N/D,Italy,False,146,143.0,3.0,0.020979,54,53.0,1.0,2417,2385.0,32.0,6.9213,3.0,2.7273,1.194,2026-08-13
33,teamdigitale,Team Digitale,https://github.com/teamdigitale,Organization,PA,"Rome, Italy",True,152,148.0,4.0,0.027027,155,154.0,1.0,336,335.0,1.0,6.7646,4.0,2.7273,0.0373,2026-08-13
