rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,201,161.0,40.0,0.248447,36,18.0,18.0,194,82.0,112.0,62.0374,31.3725,30.0,0.6648,2026-06-16
2,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,156,124.0,32.0,0.258065,4,4.0,0.0,16616,11562.0,5054.0,55.098,25.098,0.0,30.0,2026-06-16
3,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,535,484.0,51.0,0.105372,6,6.0,0.0,1,1.0,0.0,40.0,40.0,0.0,0.0,2026-06-16
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2253,2219.0,34.0,0.015322,137,133.0,4.0,5939,5846.0,93.0,33.8854,26.6667,6.6667,0.552,2026-06-16
5,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,319,315.0,4.0,0.012698,766,755.0,11.0,1670,1662.0,8.0,21.5181,3.1373,18.3333,0.0475,2026-06-16
6,virgili0,Virgilio Data Science,https://github.com/virgili0,Organization,N/D,Italy,False,117,96.0,21.0,0.21875,1,1.0,0.0,14708,14339.0,369.0,18.6609,16.4706,0.0,2.1903,2026-06-16
7,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1870,1854.0,16.0,0.00863,428,426.0,2.0,6683,6670.0,13.0,15.9595,12.549,3.3333,0.0772,2026-06-16
8,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,663,648.0,15.0,0.023148,33,33.0,0.0,1729,1685.0,44.0,12.0259,11.7647,0.0,0.2612,2026-06-16
9,ZapprTV,Zappr,https://github.com/ZapprTV,Organization,N/D,Italy,False,104,89.0,15.0,0.168539,13,13.0,0.0,100,113.0,0.0,11.7647,11.7647,0.0,0.0,2026-06-16
10,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,205,191.0,14.0,0.073298,61,61.0,0.0,1545,1470.0,75.0,11.4256,10.9804,0.0,0.4452,2026-06-16
11,ondata,onData,https://github.com/ondata,Organization,N/D,Italy,False,126,118.0,8.0,0.067797,139,137.0,2.0,774,726.0,48.0,9.8928,6.2745,3.3333,0.2849,2026-06-16
12,teamdigitale,Team Digitale,https://github.com/teamdigitale,Organization,PA,"Rome, Italy",True,146,142.0,4.0,0.028169,154,150.0,4.0,333,328.0,5.0,9.8336,3.1373,6.6667,0.0297,2026-06-16
13,sapienzastudentsnetwork,Sapienza Students Network,https://github.com/sapienzastudentsnetwork,Organization,N/D,Italy,False,317,307.0,10.0,0.032573,30,30.0,0.0,387,377.0,10.0,7.9025,7.8431,0.0,0.0594,2026-06-16
14,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,Organization,N/D,Italy,False,801,791.0,10.0,0.012642,5,5.0,0.0,20,19.0,1.0,7.8491,7.8431,0.0,0.0059,2026-06-16
15,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,61,56.0,5.0,0.089286,19,17.0,2.0,207,199.0,8.0,7.3024,3.9216,3.3333,0.0475,2026-06-16
16,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,Organization,N/D,Italy,False,407,398.0,9.0,0.022613,3,3.0,0.0,82,82.0,0.0,7.0588,7.0588,0.0,0.0,2026-06-16
17,noi-techpark,NOI Techpark - Südtirol / Alto Adige,https://github.com/noi-techpark,Organization,N/D,"Italy, South Tyrol, 39100 Bolzano/Bozen, Volta street 13/A",False,67,65.0,2.0,0.030769,257,254.0,3.0,208,206.0,2.0,6.5805,1.5686,5.0,0.0119,2026-06-16
18,gbionics,Generative Bionics,https://github.com/gbionics,Organization,N/D,Italy,False,92,87.0,5.0,0.057471,63,62.0,1.0,3052,3022.0,30.0,5.7663,3.9216,1.6667,0.1781,2026-06-16
19,polito,Politecnico di Torino,https://github.com/polito,Organization,N/D,Italy,False,233,228.0,5.0,0.02193,9,8.0,1.0,221,219.0,2.0,5.6001,3.9216,1.6667,0.0119,2026-06-16
20,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,121,114.0,7.0,0.061404,33,33.0,0.0,41,36.0,5.0,5.5199,5.4902,0.0,0.0297,2026-06-16
21,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,425,418.0,7.0,0.016746,37,41.0,0.0,1604,1615.0,0.0,5.4902,5.4902,0.0,0.0,2026-06-16
22,clastix,Clastix Labs,https://github.com/clastix,Organization,N/D,Italy,False,138,136.0,2.0,0.014706,52,50.0,2.0,2363,2345.0,18.0,5.0088,1.5686,3.3333,0.1068,2026-06-16
23,usbarmory,USB armory,https://github.com/usbarmory,Organization,N/D,Italy,False,187,181.0,6.0,0.033149,37,37.0,0.0,4995,4951.0,44.0,4.9671,4.7059,0.0,0.2612,2026-06-16
24,agentvoiceresponse,Agent Voice Response,https://github.com/agentvoiceresponse,Organization,N/D,Italy,False,205,201.0,4.0,0.0199,44,43.0,1.0,193,188.0,5.0,4.8336,3.1373,1.6667,0.0297,2026-06-16
