rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,501,484.0,17.0,0.035124,6,6.0,0.0,1,1.0,0.0,40.0,40.0,0.0,0.0,2026-05-30
2,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,126,124.0,2.0,0.016129,4,4.0,0.0,11738,11562.0,176.0,34.7059,4.7059,0.0,30.0,2026-05-30
3,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1864,1854.0,10.0,0.005394,427,426.0,1.0,6675,6670.0,5.0,34.3817,23.5294,10.0,0.8523,2026-05-30
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2223,2219.0,4.0,0.001803,135,133.0,2.0,5858,5846.0,12.0,31.4572,9.4118,20.0,2.0455,2026-05-30
5,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,315,315.0,0.0,0.0,758,755.0,3.0,1666,1662.0,4.0,30.6818,0.0,30.0,0.6818,2026-05-30
6,ZapprTV,Zappr,https://github.com/ZapprTV,Organization,N/D,Italy,False,98,89.0,9.0,0.101124,12,13.0,0.0,96,113.0,0.0,21.1765,21.1765,0.0,0.0,2026-05-30
7,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,58,56.0,2.0,0.035714,18,17.0,1.0,202,199.0,3.0,15.2172,4.7059,10.0,0.5114,2026-05-30
8,agentvoiceresponse,Agent Voice Response,https://github.com/agentvoiceresponse,Organization,N/D,Italy,False,203,201.0,2.0,0.00995,44,43.0,1.0,189,188.0,1.0,14.8763,4.7059,10.0,0.1705,2026-05-30
9,virgili0,Virgilio Data Science,https://github.com/virgili0,Organization,N/D,Italy,False,100,96.0,4.0,0.041667,1,1.0,0.0,14369,14339.0,30.0,14.5254,9.4118,0.0,5.1136,2026-05-30
10,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,196,191.0,5.0,0.026178,61,61.0,0.0,1486,1470.0,16.0,14.492,11.7647,0.0,2.7273,2026-05-30
11,noi-techpark,NOI Techpark - Südtirol / Alto Adige,https://github.com/noi-techpark,Organization,N/D,"Italy, South Tyrol, 39100 Bolzano/Bozen, Volta street 13/A",False,66,65.0,1.0,0.015385,255,254.0,1.0,206,206.0,0.0,12.3529,2.3529,10.0,0.0,2026-05-30
12,italia-opensource,Italia Open-Source,https://github.com/italia-opensource,Organization,N/D,Italy,False,105,100.0,5.0,0.05,4,4.0,0.0,345,345.0,0.0,11.7647,11.7647,0.0,0.0,2026-05-30
13,meetecho,Meetecho,https://github.com/meetecho,Organization,N/D,"Napoli, Italy",False,158,158.0,0.0,0.0,18,17.0,1.0,9754,9746.0,8.0,11.3636,0.0,10.0,1.3636,2026-05-30
14,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,652,648.0,4.0,0.006173,33,33.0,0.0,1693,1685.0,8.0,10.7754,9.4118,0.0,1.3636,2026-05-30
15,geosolutions-it,GeoSolutions,https://github.com/geosolutions-it,Organization,N/D,Italy & US,False,219,219.0,0.0,0.0,155,154.0,1.0,1779,1776.0,3.0,10.5114,0.0,10.0,0.5114,2026-05-30
16,polito-webapp1,Web Applications I / Applicazioni Web I,https://github.com/polito-webapp1,Organization,N/D,Italy,False,167,164.0,3.0,0.018293,13,13.0,0.0,83,83.0,0.0,7.0588,7.0588,0.0,0.0,2026-05-30
17,ondata,onData,https://github.com/ondata,Organization,N/D,Italy,False,120,118.0,2.0,0.016949,137,137.0,0.0,731,726.0,5.0,5.5582,4.7059,0.0,0.8523,2026-05-30
18,volumio,Volumio Srl,https://github.com/volumio,User,N/D,Firenze - Italia,False,1060,1058.0,2.0,0.00189,134,134.0,0.0,2373,2370.0,3.0,5.2172,4.7059,0.0,0.5114,2026-05-30
19,polito,Politecnico di Torino,https://github.com/polito,Organization,N/D,Italy,False,230,228.0,2.0,0.008772,8,8.0,0.0,220,219.0,1.0,4.8763,4.7059,0.0,0.1705,2026-05-30
20,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,163,161.0,2.0,0.012422,18,18.0,0.0,83,82.0,1.0,4.8763,4.7059,0.0,0.1705,2026-05-30
21,cyberpandino,Cyberpandino,https://github.com/cyberpandino,Organization,N/D,Italy,False,156,154.0,2.0,0.012987,1,1.0,0.0,477,476.0,1.0,4.8763,4.7059,0.0,0.1705,2026-05-30
22,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,116,114.0,2.0,0.017544,33,33.0,0.0,37,36.0,1.0,4.8763,4.7059,0.0,0.1705,2026-05-30
23,Corsinvest,Corsinvest Srl,https://github.com/Corsinvest,Organization,N/D,Italy,False,116,115.0,1.0,0.008696,28,28.0,0.0,3120,3106.0,14.0,4.7393,2.3529,0.0,2.3864,2026-05-30
24,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,Organization,N/D,Italy,False,400,398.0,2.0,0.005025,3,3.0,0.0,82,82.0,0.0,4.7059,4.7059,0.0,0.0,2026-05-30
25,nephila,Nephila,https://github.com/nephila,Organization,N/D,"Italy, United Kingdom, Switzerland",False,96,94.0,2.0,0.021277,117,117.0,0.0,1852,1852.0,0.0,4.7059,4.7059,0.0,0.0,2026-05-30
26,pythonitalia,Python Italia,https://github.com/pythonitalia,Organization,N/D,Italy,False,89,87.0,2.0,0.022989,46,46.0,0.0,260,260.0,0.0,4.7059,4.7059,0.0,0.0,2026-05-30
27,neuron-core,Neuron,https://github.com/neuron-core,Organization,N/D,Italy,False,79,78.0,1.0,0.012821,16,16.0,0.0,2255,2243.0,12.0,4.3984,2.3529,0.0,2.0455,2026-05-30
28,freelensapp,Freelens,https://github.com/freelensapp,Organization,N/D,Italy,False,86,86.0,0.0,0.0,19,19.0,0.0,5316,5292.0,24.0,4.0909,0.0,0.0,4.0909,2026-05-30
29,aimagelab,AImageLab,https://github.com/aimagelab,Organization,N/D,"Modena, Italy",False,184,183.0,1.0,0.005464,111,111.0,0.0,4871,4865.0,6.0,3.3757,2.3529,0.0,1.0227,2026-05-30
30,gbionics,Generative Bionics,https://github.com/gbionics,Organization,N/D,Italy,False,88,87.0,1.0,0.011494,62,62.0,0.0,3027,3022.0,5.0,3.2052,2.3529,0.0,0.8523,2026-05-30
31,robotology,Robotology,https://github.com/robotology,Organization,N/D,Italy,False,325,324.0,1.0,0.003086,147,147.0,0.0,2689,2685.0,4.0,3.0348,2.3529,0.0,0.6818,2026-05-30
32,typeonce-dev,Typeonce,https://github.com/typeonce-dev,Organization,N/D,Italy,False,101,100.0,1.0,0.01,13,13.0,0.0,621,618.0,3.0,2.8643,2.3529,0.0,0.5114,2026-05-30
33,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,419,418.0,1.0,0.002392,41,41.0,0.0,1617,1615.0,2.0,2.6939,2.3529,0.0,0.3409,2026-05-30
34,NethServer,NethServer,https://github.com/NethServer,Organization,N/D,Italy,False,138,137.0,1.0,0.007299,298,298.0,0.0,651,650.0,1.0,2.5234,2.3529,0.0,0.1705,2026-05-30
35,ChibiOS,ChibiOS,https://github.com/ChibiOS,Organization,N/D,Italy,False,110,109.0,1.0,0.009174,4,4.0,0.0,1020,1019.0,1.0,2.5234,2.3529,0.0,0.1705,2026-05-30
36,commercelayer,Commerce Layer,https://github.com/commercelayer,Organization,N/D,Italy,False,97,96.0,1.0,0.010417,86,86.0,0.0,668,667.0,1.0,2.5234,2.3529,0.0,0.1705,2026-05-30
37,sapienzastudentsnetwork,Sapienza Students Network,https://github.com/sapienzastudentsnetwork,Organization,N/D,Italy,False,308,307.0,1.0,0.003257,30,30.0,0.0,377,377.0,0.0,2.3529,2.3529,0.0,0.0,2026-05-30
38,BendingSpoons,Bending Spoons,https://github.com/BendingSpoons,Organization,N/D,"Milan, Italy",False,275,274.0,1.0,0.00365,3,3.0,0.0,2957,2957.0,0.0,2.3529,2.3529,0.0,0.0,2026-05-30
39,opencitations,OpenCitations,https://github.com/opencitations,Organization,N/D,"Bologna, Italy",False,104,103.0,1.0,0.009709,86,86.0,0.0,306,306.0,0.0,2.3529,2.3529,0.0,0.0,2026-05-30
40,ASEM-S-R-L,ASEM S.r.l,https://github.com/ASEM-S-R-L,Organization,N/D,Italy,False,103,102.0,1.0,0.009804,0,0.0,0.0,0,0.0,0.0,2.3529,2.3529,0.0,0.0,2026-05-30
41,KatharaFramework,Kathará,https://github.com/KatharaFramework,Organization,N/D,Italy,False,95,94.0,1.0,0.010638,14,14.0,0.0,911,911.0,0.0,2.3529,2.3529,0.0,0.0,2026-05-30
42,datocms,DatoCMS,https://github.com/datocms,Organization,N/D,Italy,False,87,86.0,1.0,0.011628,95,95.0,0.0,1303,1303.0,0.0,2.3529,2.3529,0.0,0.0,2026-05-30
43,ministero-salute,Ministero della Salute,https://github.com/ministero-salute,Organization,PA,Italy,False,74,73.0,1.0,0.013699,103,103.0,0.0,434,434.0,0.0,2.3529,2.3529,0.0,0.0,2026-05-30
44,cnr-isti-vclab,Visual Computing Lab - ISTI - CNR,https://github.com/cnr-isti-vclab,Organization,N/D,Italy,False,296,296.0,0.0,0.0,39,39.0,0.0,9604,9594.0,10.0,1.7045,0.0,0.0,1.7045,2026-05-30
45,mosaico-labs,mosaico,https://github.com/mosaico-labs,Organization,N/D,Italy,False,72,72.0,0.0,0.0,5,5.0,0.0,1065,1058.0,7.0,1.1932,0.0,0.0,1.1932,2026-05-30
46,usbarmory,USB armory,https://github.com/usbarmory,Organization,N/D,Italy,False,181,181.0,0.0,0.0,37,37.0,0.0,4956,4951.0,5.0,0.8523,0.0,0.0,0.8523,2026-05-30
47,clastix,Clastix Labs,https://github.com/clastix,Organization,N/D,Italy,False,136,136.0,0.0,0.0,50,50.0,0.0,2349,2345.0,4.0,0.6818,0.0,0.0,0.6818,2026-05-30
48,ZiggyCreatures,ZiggyCreatures,https://github.com/ZiggyCreatures,Organization,N/D,Italy,False,65,65.0,0.0,0.0,1,1.0,0.0,3758,3754.0,4.0,0.6818,0.0,0.0,0.6818,2026-05-30
49,informatici,Informatici Senza Frontiere,https://github.com/informatici,Organization,N/D,Italy,False,107,107.0,0.0,0.0,20,20.0,0.0,922,919.0,3.0,0.5114,0.0,0.0,0.5114,2026-05-30
50,polimi-ispl,Image and Sound Processing Lab,https://github.com/polimi-ispl,Organization,N/D,"Milan, Italy",False,90,90.0,0.0,0.0,69,69.0,0.0,878,875.0,3.0,0.5114,0.0,0.0,0.5114,2026-05-30
51,cheshire-cat-ai,Cheshire Cat AI,https://github.com/cheshire-cat-ai,Organization,N/D,Italy,False,623,623.0,0.0,0.0,25,25.0,0.0,3377,3375.0,2.0,0.3409,0.0,0.0,0.3409,2026-05-30
52,mathLab,SISSA mathLab,https://github.com/mathLab,Organization,N/D,"Via Bonomea 265, 34133 Trieste, TS, Italy",False,228,228.0,0.0,0.0,30,30.0,0.0,1756,1754.0,2.0,0.3409,0.0,0.0,0.3409,2026-05-30
53,SapienzaNLP,Sapienza NLP group,https://github.com/SapienzaNLP,Organization,N/D,"Rome, Italy",False,130,130.0,0.0,0.0,84,84.0,0.0,1457,1455.0,2.0,0.3409,0.0,0.0,0.3409,2026-05-30
54,gem,Global Earthquake Model,https://github.com/gem,Organization,N/D,"Pavia, Italy",False,124,124.0,0.0,0.0,96,96.0,0.0,691,689.0,2.0,0.3409,0.0,0.0,0.3409,2026-05-30
55,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,Organization,N/D,Italy,False,791,791.0,0.0,0.0,5,5.0,0.0,20,19.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
56,ami-iit,Artificial and Mechanical Intelligence ,https://github.com/ami-iit,Organization,N/D,Italy,False,253,254.0,0.0,0.0,168,168.0,0.0,576,575.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
57,EtheaDev,Ethea S.r.l.,https://github.com/EtheaDev,Organization,N/D,Italy,False,178,178.0,0.0,0.0,21,21.0,0.0,1931,1930.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
58,polito-informatica, Informatica (Politecnico di Torino),https://github.com/polito-informatica,Organization,N/D,Italy,False,156,156.0,0.0,0.0,7,7.0,0.0,90,89.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
59,teamdigitale,Team Digitale,https://github.com/teamdigitale,Organization,PA,"Rome, Italy",True,142,142.0,0.0,0.0,150,150.0,0.0,329,328.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
60,openforis,Open Foris,https://github.com/openforis,Organization,N/D,"Rome, Italy",False,126,126.0,0.0,0.0,59,59.0,0.0,616,615.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
61,unipr-org,unipr-org,https://github.com/unipr-org,Organization,N/D,Italy,False,86,86.0,0.0,0.0,35,35.0,0.0,50,49.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
62,MilaNLProc,MilaNLP,https://github.com/MilaNLProc,Organization,N/D,"Milan, Italy",False,80,80.0,0.0,0.0,41,41.0,0.0,1520,1519.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
63,AIRLab-POLIMI,AIRLab@POLIMI,https://github.com/AIRLab-POLIMI,Organization,N/D,"Politecnico di Milano - Piazza Leonardo da Vinci, 32 - Milan - Italy",False,79,79.0,0.0,0.0,105,105.0,0.0,467,466.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
64,hack-gpon,hack-gpon,https://github.com/hack-gpon,Organization,N/D,Italy,False,70,70.0,0.0,0.0,8,8.0,0.0,348,347.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
65,antares-sql,Antares SQL,https://github.com/antares-sql,Organization,N/D,Italy,False,64,64.0,0.0,0.0,5,5.0,0.0,2653,2652.0,1.0,0.1705,0.0,0.0,0.1705,2026-05-30
66,cartabinaria,CartaBinaria,https://github.com/cartabinaria,Organization,N/D,Italy,False,279,279.0,0.0,0.0,198,198.0,0.0,155,156.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
67,Schroedinger-Hat,Schrödinger Hat,https://github.com/Schroedinger-Hat,Organization,N/D,Italy,False,217,217.0,0.0,0.0,33,33.0,0.0,1610,1610.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
68,Il-Libro-Open-Source,Il Libro Open Source,https://github.com/Il-Libro-Open-Source,Organization,N/D,Italy,False,205,205.0,0.0,0.0,4,4.0,0.0,425,425.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
69,AlmavivA,AlmavivA S.p.A.,https://github.com/AlmavivA,Organization,N/D,"Rome, Italy",False,203,203.0,0.0,0.0,15,15.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
70,illustrated-machine-learning,Illustrated Machine Learning,https://github.com/illustrated-machine-learning,Organization,N/D,Italy,False,192,192.0,0.0,0.0,3,3.0,0.0,662,662.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
71,Sisal-Org,Sisal-Org,https://github.com/Sisal-Org,Organization,N/D,Italy,False,184,184.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
72,TheWebScrapingClub,The Web Scraping Club,https://github.com/TheWebScrapingClub,Organization,N/D,Italy,False,167,167.0,0.0,0.0,6,6.0,0.0,1953,1955.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
73,cybersecurity-polito,Cybersecurity @ PoliTO,https://github.com/cybersecurity-polito,Organization,N/D,Italy,False,157,157.0,0.0,0.0,7,7.0,0.0,6,6.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
74,Home-Assistant-Pro-Team,Home Assistant Pro Team,https://github.com/Home-Assistant-Pro-Team,Organization,N/D,Italy,False,127,127.0,0.0,0.0,10,10.0,0.0,252,252.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
75,mkinf-io,mkinf,https://github.com/mkinf-io,Organization,N/D,Italy,False,113,113.0,0.0,0.0,6,6.0,0.0,171,171.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
76,vira-soft,Vira Software,https://github.com/vira-soft,Organization,N/D,Italy,False,110,110.0,0.0,0.0,1,1.0,0.0,11325,11327.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
77,RealityNet,RealityNet,https://github.com/RealityNet,Organization,N/D,Italy,False,109,109.0,0.0,0.0,9,9.0,0.0,1762,1763.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
78,Programmazione-Avanzata-2025-26,Programmazione Avanzata 2025-26,https://github.com/Programmazione-Avanzata-2025-26,Organization,N/D,Italy,False,108,108.0,0.0,0.0,32,32.0,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
79,mesh-iit,MESH,https://github.com/mesh-iit,Organization,N/D,Italy,False,106,106.0,0.0,0.0,57,57.0,0.0,379,379.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
80,mia-platform,Mia-Platform,https://github.com/mia-platform,Organization,N/D,Italy,False,106,106.0,0.0,0.0,71,71.0,0.0,331,331.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
81,UNICT-DMI,UNICT Devs,https://github.com/UNICT-DMI,Organization,N/D,Italy,False,100,100.0,0.0,0.0,52,52.0,0.0,319,319.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
82,CompEngMS,Computer Engineering MS - Sapienza,https://github.com/CompEngMS,Organization,N/D,Italy,False,96,96.0,0.0,0.0,24,24.0,0.0,36,36.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
83,immobiliare,Immobiliare Labs,https://github.com/immobiliare,Organization,N/D,"Rome, Italy",False,86,86.0,0.0,0.0,39,39.0,0.0,3044,3044.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
84,TdP-2024,"Tecniche di Programmazione (2023/2024), Politecnico di Torino",https://github.com/TdP-2024,Organization,N/D,Italy,False,84,84.0,0.0,0.0,36,36.0,0.0,8,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
85,XENONnT,XENONnT Dark Matter experiment,https://github.com/XENONnT,Organization,N/D,"Gran Sasso, Italy",False,84,84.0,0.0,0.0,48,48.0,0.0,97,98.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
86,Polito-DS-Python,Data Structures in Python - PoliTo,https://github.com/Polito-DS-Python,Organization,N/D,Italy,False,82,82.0,0.0,0.0,1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
87,ASEM-ApplicationSoftwareEngineers,Application Support Engineers Shared Repo,https://github.com/ASEM-ApplicationSoftwareEngineers,Organization,N/D,Italy,False,77,77.0,0.0,0.0,3,3.0,0.0,8,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
88,krateoplatformops,Krateo PlatformOps,https://github.com/krateoplatformops,Organization,N/D,Italy,False,76,76.0,0.0,0.0,213,213.0,0.0,342,342.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
89,buildwiththeta,Build with Theta,https://github.com/buildwiththeta,Organization,N/D,Italy,False,74,75.0,0.0,0.0,7,7.0,0.0,291,291.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
90,ReactBricks,React Bricks,https://github.com/ReactBricks,Organization,N/D,"Bergamo, Italy",False,72,72.0,0.0,0.0,35,35.0,0.0,206,206.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
91,g3w-suite,G3W-SUITE,https://github.com/g3w-suite,Organization,N/D,Italy,False,71,71.0,0.0,0.0,32,32.0,0.0,123,123.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
92,OliCyberIT,Olimpiadi Italiane di Cybersecurity,https://github.com/OliCyberIT,Organization,N/D,Italy,False,70,70.0,0.0,0.0,1,1.0,0.0,66,66.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
93,builders-garden,builders.garden,https://github.com/builders-garden,Organization,N/D,Italy,False,69,69.0,0.0,0.0,177,177.0,0.0,309,309.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
94,FIUP,FIUP,https://github.com/FIUP,Organization,N/D,"Padua, Italy",False,69,69.0,0.0,0.0,40,40.0,0.0,104,104.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
95,INGV,Istituto Nazionale di Geofisica e Vulcanologia,https://github.com/INGV,Organization,N/D,"Via di Vigna Murata 605 - 00143, Rome, Italy",False,68,68.0,0.0,0.0,74,74.0,0.0,141,141.0,0.0,0.0,0.0,0.0,0.0,2026-05-30
