rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,235,213.0,22.0,0.103286,50,41.0,9.0,265,225.0,40.0,54.6846,23.1579,30.0,1.5267,2026-08-14
2,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,597,559.0,38.0,0.067979,6,6.0,0.0,2,1.0,1.0,40.0382,40.0,0.0,0.0382,2026-08-14
3,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,185,176.0,9.0,0.051136,4,4.0,0.0,19607,18821.0,786.0,39.4737,9.4737,0.0,30.0,2026-08-14
4,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,221,208.0,13.0,0.0625,77,71.0,6.0,1713,1625.0,88.0,37.043,13.6842,20.0,3.3588,2026-08-14
5,TabularisDB,Tabularis,https://github.com/TabularisDB,Organization,N/D,Italy,False,49,39.0,10.0,0.25641,23,19.0,4.0,4145,3806.0,339.0,36.7986,10.5263,13.3333,12.9389,2026-08-14
6,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2307,2277.0,30.0,0.013175,139,139.0,0.0,6240,6114.0,126.0,36.3881,31.5789,0.0,4.8092,2026-08-14
7,OpenOSINT,OpenOSINT,https://github.com/OpenOSINT,Organization,N/D,Italy,False,57,43.0,14.0,0.325581,1,1.0,0.0,1400,983.0,417.0,30.6529,14.7368,0.0,15.916,2026-08-14
8,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1910,1885.0,25.0,0.013263,432,431.0,1.0,6736,6713.0,23.0,30.527,26.3158,3.3333,0.8779,2026-08-14
9,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,702,679.0,23.0,0.033873,34,34.0,0.0,1862,1776.0,86.0,27.493,24.2105,0.0,3.2824,2026-08-14
10,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,325,323.0,2.0,0.006192,777,770.0,7.0,1701,1681.0,20.0,26.202,2.1053,23.3333,0.7634,2026-08-14
11,gbionics,Generative Bionics,https://github.com/gbionics,Organization,N/D,Italy,False,111,98.0,13.0,0.132653,67,66.0,1.0,3169,3099.0,70.0,19.6893,13.6842,3.3333,2.6718,2026-08-14
12,BendingSpoons,Bending Spoons,https://github.com/BendingSpoons,Organization,N/D,"Milan, Italy",False,302,286.0,16.0,0.055944,3,3.0,0.0,2953,2955.0,0.0,16.8421,16.8421,0.0,0.0,2026-08-14
13,agile-lab-dev,Agile Lab,https://github.com/agile-lab-dev,Organization,N/D,"Turin, Italy",False,51,52.0,0.0,0.0,123,119.0,4.0,409,405.0,4.0,13.486,0.0,13.3333,0.1527,2026-08-14
14,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,445,433.0,12.0,0.027714,30,30.0,0.0,861,846.0,15.0,13.2041,12.6316,0.0,0.5725,2026-08-14
15,typeonce-dev,Typeonce,https://github.com/typeonce-dev,Organization,N/D,Italy,False,101,101.0,0.0,0.0,15,13.0,2.0,789,625.0,164.0,12.9262,0.0,6.6667,6.2595,2026-08-14
16,beelzebub-labs,Beelzebub Labs,https://github.com/beelzebub-labs,Organization,N/D,Italy,False,54,44.0,10.0,0.227273,7,7.0,0.0,2261,2200.0,61.0,12.8546,10.5263,0.0,2.3282,2026-08-14
